City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,coquimbo,-29.9533,-71.3436,16.85,82,0,1.54,CL,1704605062
83,ghadamis,30.1337,9.5007,9.08,41,82,4.85,LY,1704605063
84,kariong,-33.44,151.3011,29.1,59,85,2.24,AU,1704605063
85,mount gambier,-37.8333,140.7667,22.31,84,100,1.89,AU,1704605064
86,ocean city,39.2776,-74.5746,9.01,81,100,4.02,US,1704605064
87,utrik,11.2278,169.8474,26.7,70,64,7.59,MH,1704605065
88,papatowai,-46.5619,169.4708,15.9,70,67,2.72,NZ,1704605066
89,tangalle,6.024,80.7911,30.09,70,57,3.05,LK,1704605066
90,happy valley-goose bay,53.3168,-60.3315,-16.83,55,0,3.09,CA,1704605067
91,west island,-12.1568,96.8225,29.99,79,100,5.14,CC,1704605067
92,kirakira,-10.4544,161.9205,28.52,77,91,1.7,SB,1704605068
93,lebu,-37.6167,-73.65,14.78,95,15,1.67,CL,1704605068
94,hammerfest,70.6634,23.6821,-3.75,80,100,4.12,NO,1704605068
95,georgetown,5.4112,100.3354,29.97,79,20,4.12,MY,1704604971
96,port mathurin,-19.6833,63.4167,27.77,76,56,0.6,MU,1704605069
97,nar'yan-mar,67.6713,53.087,-16.05,95,16,3.13,RU,1704605070
98,remire-montjoly,4.9167,-52.2667,23.02,100,0,1.03,GF,1704605070
99,kingston,17.997,-76.7936,27.53,80,20,6.17,JM,1704604942
100,masterton,-40.9597,175.6575,19.94,35,8,3.21,NZ,1704605071
101,saarijarvi,62.7049,25.254,-31.91,96,17,1.58,FI,1704605072
102,troitskiy,57.0603,63.7481,-15.73,96,100,3.44,RU,1704605072
103,greenwood,34.1668,-82.1165,7.38,57,0,3.09,US,1704605073
104,san julian,21.0167,-102.1667,11.89,47,67,2.16,MX,1704605073
105,ust-nera,64.5667,143.2,-39.81,100,100,1.79,RU,1704605073
106,finley,46.154,-119.0339,4.6,79,0,5.14,US,1704605073
107,moree,-29.4667,149.85,31.77,32,91,3.57,AU,1704605074
108,klyuchi,52.2667,79.1667,-8.33,96,95,1.81,RU,1704605074
109,saipan,15.1355,145.701,29.39,74,40,4.63,MP,1704605075
110,hami,42.8,93.45,-2.69,53,88,1.4,CN,1704605075
111,marsh harbour,26.5412,-77.0636,24.02,86,75,7.71,BS,1704605076
